"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17652-15755","PF","Anthony","","Davis","52.2486473289696","37","11500","NO@CHI","NO","CHI","GTD","Hip","",""
"17652-12332","PG","John","","Wall","44.797220865885414","36","9700","PHI@WAS","WAS","PHI","GTD","Finger","",""
"17652-14528","SF","Jimmy","","Butler","41.83420924136513","38","9600","NO@CHI","CHI","NO","GTD","Illness","",""
"17652-9623","PG","Chris","","Paul","41.21764777688419","34","9500","LAL@LAC","LAC","LAL","","","",""
"17652-9560","PF","Blake","","Griffin","39.55769230769231","26","8800","LAL@LAC","LAC","LAL","O","Knee","",""
"17652-14513","SF","Kawhi","","Leonard","39.0783790382179","37","8700","SA@PHO","SA","PHO","","","",""
"17652-49111","C","Joel","","Embiid","34.15925880714699","27","8100","PHI@WAS","PHI","WAS","O","Rest","",""
"17652-9561","C","DeAndre","","Jordan","32.59024271150915","41","7900","LAL@LAC","LAC","LAL","","","",""
"17652-12355","PG","Eric","","Bledsoe","35.6051275791266","39","7700","SA@PHO","PHO","SA","","","",""
"17652-12366","SF","Gordon","","Hayward","35.02353084788603","34","7600","ORL@UTA","UTA","ORL","","","",""
"17652-40203","C","Rudy","","Gobert","32.92926769721799","41","7500","ORL@UTA","UTA","ORL","","","",""
"17652-9688","PF","LaMarcus","","Aldridge","31.219998604910714","35","7300","SA@PHO","SA","PHO","","","",""
"17652-9585","SG","Dwyane","","Wade","31.275000678168404","36","7200","NO@CHI","CHI","NO","","","",""
"17652-15595","SG","Bradley","","Beal","31.779411764705884","34","7000","PHI@WAS","WAS","PHI","","","",""
"17652-9663","PG","Jrue","","Holiday","30.11199951171875","25","6800","NO@CHI","NO","CHI","","","",""
"17652-42669","PF","Julius","","Randle","30.094736199629935","38","6700","LAL@LAC","LAL","LAC","","","",""
"17652-14514","C","Nikola","","Vucevic","32.49210397820724","38","6700","ORL@UTA","ORL","UTA","","","",""
"17652-9570","C","Pau","","Gasol","27.981082400760137","37","6600","SA@PHO","SA","PHO","","","",""
"17652-9957","PF","Serge","","Ibaka","29.014999389648438","40","6500","ORL@UTA","ORL","UTA","","","",""
"17652-58460","SG","Devin","","Booker","27.581578304893092","38","6300","SA@PHO","PHO","SA","","","",""
"17652-15628","SF","Otto","","Porter","28.228946083470394","38","6200","PHI@WAS","WAS","PHI","","","",""
"17652-58312","PG","D'Angelo","","Russell","27.29666748046875","30","6200","LAL@LAC","LAL","LAC","","","",""
"17652-9661","C","Marcin","","Gortat","29.55263157894737","38","6100","PHI@WAS","WAS","PHI","","","",""
"17652-9703","PG","George","","Hill","30.194116928998163","17","6100","ORL@UTA","UTA","ORL","","","",""
"17652-9598","PF","Ersan","","Ilyasova","24.340539880701012","37","5900","PHI@WAS","PHI","WAS","","","",""
"17652-14511","PF","Markieff","","Morris","24.578379038217907","37","5700","PHI@WAS","WAS","PHI","","","",""
"17652-9692","SG","Tyreke","","Evans","18.650000254313152","12","5600","NO@CHI","NO","CHI","","","",""
"17652-20491","SF","Robert","","Covington","22.761765423943014","34","5500","PHI@WAS","PHI","WAS","","","",""
"17652-9473","C","Tyson","","Chandler","23.554839103452622","31","5400","SA@PHO","PHO","SA","","","",""
"17652-18393","PG","T.J.","","McConnell","17.51081147065034","37","5400","PHI@WAS","PHI","WAS","","","",""
"17652-23096","SG","Evan","","Fournier","25.72222222222222","36","5300","ORL@UTA","ORL","UTA","","","",""
"17652-15757","PF","Terrence","","Jones","21.728947689658717","38","5100","NO@CHI","NO","CHI","","","",""
"17652-41594","SF","Aaron","","Gordon","20.890243902439025","41","5000","ORL@UTA","ORL","UTA","","","",""
"17652-9481","PF","Taj","","Gibson","23.597500610351563","40","4800","NO@CHI","CHI","NO","","","",""
"17652-9655","SG","J.J.","","Redick","20.18684146278783","38","4800","LAL@LAC","LAC","LAL","","","",""
"17652-19138","PG","Elfrid","","Payton","26.02926710175305","41","4800","ORL@UTA","ORL","UTA","","","",""
"17652-9702","PG","Tony","","Parker","20.463334147135416","30","4800","SA@PHO","SA","PHO","","","",""
"17652-23825","PF","Nerlens","","Noel","16.041666666666668","12","4700","PHI@WAS","PHI","WAS","","","",""
"17652-12351","PF","Derrick","","Favors","19.75","26","4700","ORL@UTA","UTA","ORL","","","",""
"17652-16201","PG","Michael","","Carter-Williams","16.77692354642428","13","4600","NO@CHI","CHI","NO","","","",""
"17652-23120","SF","T.J.","","Warren","22.71923123873197","26","4600","SA@PHO","PHO","SA","","","",""
"17652-9662","SG","Lou","","Williams","25.106976176417152","43","4500","LAL@LAC","LAL","LAC","","","",""
"17652-58083","C","Jahlil","","Okafor","19.571428571428573","28","4400","PHI@WAS","PHI","WAS","","","",""
"17652-9479","SF","Luol","","Deng","19.27857171921503","42","4300","LAL@LAC","LAL","LAC","","","",""
"17652-15592","PG","Austin","","Rivers","17.27948780548878","39","4300","LAL@LAC","LAC","LAL","","","",""
"17652-9455","PG","Rajon","","Rondo","25.903225806451612","31","4300","NO@CHI","CHI","NO","","","",""
