city,team,RPI,W,L,PCT,SOS,PWR,PF,PA,EWL,EWP,season
Atlanta,Hawks,0.523,48,34,0.585,0.502,2,8433,8137,53-29,0.643,2015
Atlanta,Hawks,0.551,60,22,0.732,0.491,5,8409,7964,58-24,0.71,2014
Atlanta,Hawks,0.485,38,44,0.463,0.492,0,8282,8321,39-43,0.481,2013
Atlanta,Hawks,0.503,44,38,0.537,0.492,16,8032,7999,42-40,0.517,2012
Atlanta,Hawks,0.518,40,26,0.606,0.488,12,6375,6148,43-23,0.645,2011
Atlanta,Hawks,0.503,44,38,0.537,0.492,17,7790,7857,38-44,0.465,2010
Atlanta,Hawks,0.535,53,29,0.646,0.498,10,8338,7956,56-26,0.684,2009
Atlanta,Hawks,0.52,47,35,0.573,0.502,12,8046,7917,46-36,0.566,2008
Atlanta,Hawks,0.481,37,45,0.451,0.49,18,8054,8203,35-47,0.425,2007
Atlanta,Hawks,0.462,30,52,0.366,0.494,28,7680,8074,25-57,0.305,2006
Atlanta,Hawks,0.451,26,56,0.317,0.496,28,7972,8362,26-56,0.313,2005
Atlanta,Hawks,0.412,13,69,0.159,0.497,30,7605,8401,13-69,0.162,2004
Atlanta,Hawks,0.452,28,54,0.341,0.489,24,7611,7992,25-57,0.309,2003
Atlanta,Hawks,0.475,35,47,0.427,0.491,20,7714,8006,29-53,0.351,2002
Boston,Celtics,0.517,48,34,0.585,0.494,0,8669,8406,51-31,0.624,2015
Boston,Celtics,0.49,40,42,0.488,0.49,17,8312,8299,42-40,0.506,2014
Boston,Celtics,0.441,25,57,0.305,0.487,0,7892,8258,26-56,0.321,2013
Boston,Celtics,0.497,41,40,0.506,0.494,15,7818,7836,40-41,0.491,2012
Boston,Celtics,0.522,39,27,0.591,0.499,9,6062,5896,40-26,0.613,2011
Boston,Celtics,0.54,56,26,0.683,0.492,7,7913,7473,59-23,0.72,2010
Boston,Celtics,0.524,50,32,0.61,0.496,12,8136,7836,53-29,0.65,2009
Boston,Celtics,0.567,62,20,0.756,0.504,3,8275,7659,64-18,0.782,2008
Boston,Celtics,0.567,66,16,0.805,0.488,1,8245,7404,70-12,0.855,2007
Boston,Celtics,0.442,24,58,0.293,0.492,29,7857,8137,29-53,0.359,2006
Boston,Celtics,0.472,33,49,0.402,0.495,24,8033,8159,36-46,0.436,2005
Boston,Celtics,0.505,45,37,0.549,0.491,10,8304,8233,44-38,0.535,2004
Boston,Celtics,0.476,36,46,0.439,0.488,20,7811,7930,36-46,0.438,2003
Boston,Celtics,0.504,44,38,0.537,0.493,16,7599,7629,40-42,0.484,2002
Brooklyn,Nets,0.439,21,61,0.256,0.5,0,8089,8692,19-63,0.234,2015
Brooklyn,Nets,0.487,38,44,0.463,0.495,19,8038,8274,31-51,0.383,2014
